Price,Close,High,Low,Open,Volume
Ticker,MCD,MCD,MCD,MCD,MCD
Date,,,,,
2020-06-05,177.88499450683594,180.58267348095896,177.0820043790308,178.64287004536308,4728300
2020-06-08,182.83827209472656,182.9104526868559,176.51359742595696,176.5496808385015,4443900
2020-06-09,180.01429748535156,181.86388575370918,179.55414788779902,180.78119053620316,3728600
2020-06-10,176.65794372558594,180.0503486675897,176.54064855237866,179.6623935055027,3459900
2020-06-11,169.1783905029297,174.05047670821693,168.1137578564462,172.2369722177605,5796000
2020-06-12,170.6761016845703,172.93169326009252,167.31978031883017,172.93169326009252,4108600
2020-06-15,170.96482849121094,171.53322822154024,166.13785688638148,166.55289180464237,4499000
2020-06-16,171.71371459960938,174.58282101902924,169.1784176241142,173.22946581733135,5434800
2020-06-17,172.1377410888672,174.02342633317883,171.80391790144745,173.15727300768756,3154100
2020-06-18,170.96482849121094,172.09262430850393,169.52124433826043,171.4339816389369,3153300
2020-06-19,168.32130432128906,173.55428079810702,168.2942383171865,173.4911176105065,6267700
2020-06-22,169.13328552246094,169.41297667636627,166.814530764144,167.81601397889312,3223200
2020-06-23,168.3754425048828,171.1813997584428,168.1047824539303,171.01900372787128,2951900
2020-06-24,166.27320861816406,167.55439694912073,163.61161289475194,166.87771937026812,4146600
2020-06-25,164.89276123046875,166.0837201879923,162.70033283189818,165.56943870168757,3145200
2020-06-26,162.1680450439453,164.93790482104478,161.3921208564799,164.5409184320568,5107400
2020-06-29,164.9288787841797,164.9559447850097,161.65375501334555,162.91689470925385,2622200
2020-06-30,166.43560791015625,167.0942368573064,164.107835533513,165.0371382485593,3163100
2020-07-01,166.60702514648438,168.21300530191462,165.75892048230546,166.868667720712,2193800
2020-07-02,165.57850646972656,168.7182867752647,164.98302685937097,168.7182867752647,2690200
2020-07-06,170.0716094970703,170.27010266256792,166.1378571299048,167.81601785917815,3171500
2020-07-07,167.65362548828125,169.4851648364209,167.13934397556227,169.05208132032942,2399600
2020-07-08,167.68069458007812,168.9257718524494,166.68822871286105,167.36490623131652,2776400
2020-07-09,166.30929565429688,168.34834567806325,164.76646481112235,168.01452249831098,2333500
2020-07-10,166.80555725097656,167.31080769641886,165.11836493925202,165.81309118525624,2714100
2020-07-13,166.8415985107422,170.4776110837033,166.65213652509573,167.45512658735424,3221600
2020-07-14,172.07456970214844,172.1828336913695,166.6701673785718,166.99497311327326,4138600
2020-07-15,173.02194213867188,175.03392619844988,171.31671526401806,174.9436970183357,3735400
2020-07-16,172.25502014160156,173.91513227906006,171.56029406400904,172.43546471879682,2111100
2020-07-17,172.76031494140625,173.13925278118484,171.54230340648417,172.63400232814672,1972600
2020-07-20,172.87759399414062,173.9241919874138,171.75881540474094,172.23699980791832,2157100
2020-07-21,174.11367797851562,175.84597122293596,173.22948964655004,173.5272294839252,3505400
2020-07-22,179.20225524902344,180.13155798133315,174.17680381219682,174.3211649933618,3484400
2020-07-23,178.23687744140625,179.7887257939128,176.8474251000259,179.05791620976368,2702200
2020-07-24,179.29246520996094,179.46389237333844,176.59477271515604,177.64137051585345,2199900
2020-07-27,181.5751495361328,182.72099408611354,179.28347420321188,179.58120022161708,4541700
2020-07-28,177.05494689941406,180.3481055695902,176.38728674027286,179.18422620563044,6051000
2020-07-29,177.02789306640625,179.0579259177902,176.5767746549876,177.10909107637167,3342900
2020-07-30,176.30601501464844,177.19922022346609,174.059441463463,175.9360947933024,2705700
2020-07-31,175.2865753173828,175.64746455303825,172.90467056774798,175.16928012062596,3194700
2020-08-03,175.39483642578125,176.47753164887504,174.66402678712208,175.3316870057577,3143500
2020-08-04,179.86990356445312,180.17666072898677,175.34067161413077,175.8910365349889,3699900
2020-08-05,179.7797088623047,180.8984875067608,178.56169738121235,180.44736908405068,2259600
2020-08-06,183.3164520263672,183.69540356761743,178.9766955617436,179.34661592479648,3158900
2020-08-07,184.59764099121094,185.10289135872532,183.415699307227,183.47886248668627,2980000
2020-08-10,184.16458129882812,185.10291533177173,182.73904542469432,184.37210568646555,2783600
2020-08-11,184.95852661132812,187.14193781001222,184.28184907494523,184.95852661132812,2478400
2020-08-12,185.87879943847656,187.12387666025836,185.30136853020477,186.63667492426353,2167100
